country,sex,disease,ncd_deaths,underweight,overweight,water,pollution,raised_cholesterol,fasting_blood,raised_bp,phys_activity
Algeria,Male,Malignant neoplasms,0.6215337634832291,36.00000000000001,193.99999999999997,935.1999999999999,351.7,36.6,12.3,254.0,269.20000000000005
Algeria,Male,Diabetes mellitus,0.19627641235285426,36.00000000000001,193.99999999999997,935.1999999999999,351.7,36.6,12.3,254.0,269.20000000000005
Algeria,Male,Cardiovascular diseases,1.7129980791016106,36.00000000000001,193.99999999999997,935.1999999999999,351.7,36.6,12.3,254.0,269.20000000000005
Algeria,Male,Chronic obstructive pulmonary disease,0.17095995665665173,36.00000000000001,193.99999999999997,935.1999999999999,351.7,36.6,12.3,254.0,269.20000000000005
Algeria,Female,Malignant neoplasms,0.6179874895335664,37.00000000000001,340.0,935.1999999999999,351.7,40.5,12.6,246.0,402.5
Algeria,Female,Diabetes mellitus,0.21696301039255284,37.00000000000001,340.0,935.1999999999999,351.7,40.5,12.6,246.0,402.5
Algeria,Female,Cardiovascular diseases,1.6940353642318868,37.00000000000001,340.0,935.1999999999999,351.7,40.5,12.6,246.0,402.5
Algeria,Female,Chronic obstructive pulmonary disease,0.12278973550706793,37.00000000000001,340.0,935.1999999999999,351.7,40.5,12.6,246.0,402.5
Argentina,Male,Malignant neoplasms,1.5555910324537596,4.0,273.99999999999994,990.8000000000001,118.3,50.3,9.9,276.0,376.2
Argentina,Male,Diabetes mellitus,0.2206308299313522,4.0,273.99999999999994,990.8000000000001,118.3,50.3,9.9,276.0,376.2
Argentina,Male,Cardiovascular diseases,2.062444408967546,4.0,273.99999999999994,990.8000000000001,118.3,50.3,9.9,276.0,376.2
Argentina,Male,Chronic obstructive pulmonary disease,0.7659360959700777,4.0,273.99999999999994,990.8000000000001,118.3,50.3,9.9,276.0,376.2
Argentina,Female,Malignant neoplasms,1.4392774876274317,13.000000000000002,296.00000000000006,990.8000000000001,118.3,51.2,9.5,176.00000000000003,452.5
Argentina,Female,Diabetes mellitus,0.2004698154947887,13.000000000000002,296.00000000000006,990.8000000000001,118.3,51.2,9.5,176.00000000000003,452.5
Argentina,Female,Cardiovascular diseases,2.0896298492485235,13.000000000000002,296.00000000000006,990.8000000000001,118.3,51.2,9.5,176.00000000000003,452.5
Argentina,Female,Chronic obstructive pulmonary disease,0.804296759185349,13.000000000000002,296.00000000000006,990.8000000000001,118.3,51.2,9.5,176.00000000000003,452.5
Armenia,Male,Malignant neoplasms,3.0078632478632477,18.999999999999996,171.99999999999997,999.0000000000001,304.80000000000007,39.8,11.0,278.00000000000006,233.39999999999995
Armenia,Male,Diabetes mellitus,0.2947008547008547,18.999999999999996,171.99999999999997,999.0000000000001,304.80000000000007,39.8,11.0,278.00000000000006,233.39999999999995
